"name","url","pattern"
"Д. Кабилов: Сделано в ЦРУ. Тайная история цветных революций, кровавых переворотов и чудовищных провокацийНа складе","https://www.labirint.ru/books/980188/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Bonjour, маффин","https://www.labirint.ru/books/980187/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Awesome, звезды","https://www.labirint.ru/books/980186/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Pretty, белыйНа складе (ограниченное количество)","https://www.labirint.ru/books/980185/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Skate, голубой","https://www.labirint.ru/books/980184/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Brave, пятна","https://www.labirint.ru/books/980183/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Tweed, клеткаНа складе (ограниченное количество)","https://www.labirint.ru/books/980182/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный New Year, белыйНа складе","https://www.labirint.ru/books/980181/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Lucky, красныйНа складе","https://www.labirint.ru/books/980180/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный June, розовыйНа складе","https://www.labirint.ru/books/980179/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный New Year, розовый","https://www.labirint.ru/books/980178/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Lucky, белыйНа складе","https://www.labirint.ru/books/980177/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Pets, зеленый","https://www.labirint.ru/books/980176/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Pretty, полоскиНа складе","https://www.labirint.ru/books/980175/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Awesome, сладости","https://www.labirint.ru/books/980174/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Brave, самолеты","https://www.labirint.ru/books/980173/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный New Year, белыйНа складе","https://www.labirint.ru/books/980172/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Christmas, елкиНа складе","https://www.labirint.ru/books/980171/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"НГ Пакет подарочный Lucky, белыйНа складе","https://www.labirint.ru/books/980170/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Pets, зеленый","https://www.labirint.ru/books/980169/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Terrazzo, бежевый","https://www.labirint.ru/books/980168/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Bonjour, букетНа складе","https://www.labirint.ru/books/980167/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Skate, голубойНа складе","https://www.labirint.ru/books/980166/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Brave, самолеты","https://www.labirint.ru/books/980165/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный New Year, белыйНа складе","https://www.labirint.ru/books/980164/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Lucky, красныйНа складе","https://www.labirint.ru/books/980163/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Awesome, звездыНа складе","https://www.labirint.ru/books/980162/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Pretty, белыйНа складе","https://www.labirint.ru/books/980161/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный June, горошекНа складе (ограниченное количество)","https://www.labirint.ru/books/980160/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Skate, голубойНа складе","https://www.labirint.ru/books/980159/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный Christmas, елкиНа складе","https://www.labirint.ru/books/980158/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Пакет подарочный New Year, розовый","https://www.labirint.ru/books/980157/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
